"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"1787","Flying Circuits","47","60.5","1775","1816","15.2","36.1","9.2","0.38","0.46","N/A","N/A","N/A","20-8-0","0.714"
"1923","The MidKnight Inventors","48","60.4","1773","1814","13.4","36.7","10.3","0.49","0.71","2023cc","Chezy Champs","9","47-22-0","0.681"
"3683","Team DAVE","49","60.3","1773","1814","13","41.4","6","0.65","0.08","N/A","N/A","N/A","51-15-0","0.773"
"973","Greybots","50","60","1770","1811","15.7","36","8.3","0.7","0.5","2023catt","Tidal Tumble","9","52-12-1","0.808"
"4391","BraveBots","51","59.8","1767","1809","16.4","35.3","8.1","0.68","0.45","N/A","N/A","N/A","55-22-2","0.709"
"694","StuyPulse","52","59.7","1766","1808","14.2","37","8.5","0.63","0.57","2023cc","Chezy Champs","9","49-13-1","0.786"
"1114","Simbotics","53","59.7","1766","1808","12.7","39.1","7.9","0.7","0.4","N/A","N/A","N/A","49-16-0","0.754"
"1731","Fresta Valley Robotics Club","54","59.5","1764","1807","19.1","31.6","8.8","0.64","0.57","N/A","N/A","N/A","48-16-0","0.750"
"2687","Team Apprentice","55","59.5","1764","1807","14.5","38","7","0.58","0.5","N/A","N/A","N/A","42-20-0","0.677"
"3663","CPR - Cedar Park Robotics","56","59.2","1761","1805","13.1","38","8.1","0.51","0.46","2023cc","Chezy Champs","9","44-16-1","0.730"
"4362","CSPA Gems","57","58.9","1757","1802","15.4","35.9","7.6","0.88","0.41","N/A","N/A","N/A","41-22-2","0.646"
"67","The HOT Team","58","58.8","1756","1801","16.4","36.1","6.3","0.78","0.21","N/A","N/A","N/A","50-13-0","0.794"
"4738","Patribots","59","58.8","1756","1801","14.8","37.5","6.5","0.56","0.2","2023cc","Chezy Champs","9","30-12-0","0.714"
"2659","RoboWarriors","60","58.6","1754","1799","14.4","35","9.1","0.61","0.44","2023catt","Tidal Tumble","9","38-10-0","0.792"
"2252","The Mavericks","61","58.5","1753","1799","15.8","33.6","9.2","0.62","0.57","N/A","N/A","N/A","20-7-0","0.741"
"148","Robowranglers","62","58.4","1752","1798","11.9","36.4","10.1","0.71","0.35","2023cc","Chezy Champs","9","49-24-0","0.671"
"1718","The Fighting Pi","63","58.4","1752","1798","16.5","33.7","8.2","0.49","0.4","N/A","N/A","N/A","51-16-0","0.761"
"5460","Strike Zone","64","58.4","1752","1798","13.2","37.7","7.5","0.73","0.34","2023cc","Chezy Champs","9","63-28-1","0.690"
"4265","Secret City Wildbots","65","58.3","1751","1797","15.5","36.1","6.7","0.45","0.44","N/A","N/A","N/A","29-14-0","0.674"
